path,sz,dt,latlong
/mnt/4C74F47B74F468DA/Pictures/BKUU7461-2020-11-04 233155.JPG,756288,2020:11:04 17:27:43,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/BORE1037-2018-10-11 001716.JPG,229622,,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/BVHR0380-2021-10-05 213751.JPG,291883,2021:10:02 17:55:15,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/CWII4264-2020-11-04 234258.JPG,584288,2020:11:04 17:32:26,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/DFCN3364-2021-08-24 221724.JPG,1343071,2021:03:04 14:23:35,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1435-2012-08-02 204725.JPG,123969,2012:08:02 15:47:25,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1435-2016-11-21 143819.JPG,1360017,2016:11:13 16:12:02,"(35.95516944444445, -86.79733333333333)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14352012-08-02 214725.JPG,123969,2012:08:02 15:47:25,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1436-2012-08-02 204731.JPG,126736,2012:08:02 15:47:31,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1436-2016-11-13 222538.JPG,1254373,2016:11:13 16:12:03,"(35.95516944444445, -86.79733333333333)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14362012-08-02 214731.JPG,126736,2012:08:02 15:47:31,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1438-2016-11-29 140910.JPG,1161598,2016:11:16 19:22:03,"(35.95516944444445, -86.79730277777777)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1443-2012-08-15 204110.JPG,2086360,2012:08:15 15:41:09,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1443-2019-09-06 141237.JPG,3505200,2016:11:19 13:59:11,"(35.958644444444445, -83.91746388888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14432012-08-15 214110.JPG,2086360,2012:08:15 15:41:09,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1444-2012-08-18 005506.JPG,2080699,2012:08:17 19:55:05,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14442012-08-18 015506.JPG,2080699,2012:08:17 19:55:05,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1445-2012-08-20 232550.JPG,2251516,2012:08:20 18:25:48,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14452012-08-21 002550.JPG,2251516,2012:08:20 18:25:48,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1446-2012-08-20 232551.JPG,2182980,2012:08:20 18:25:50,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14462012-08-21 002551.JPG,2182980,2012:08:20 18:25:50,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1447-2012-08-20 232558.JPG,2245860,2012:08:20 18:25:57,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1458-2012-08-26 204515.JPG,2189440,2012:08:26 15:45:14,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1458-2016-12-18 025702.JPG,1609364,2016:12:02 18:04:20,"(35.94439444444444, -86.80371111111111)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14582012-08-26 214515.JPG,2189440,2012:08:26 15:45:14,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1459-2012-08-26 204519.JPG,1499021,2012:08:26 15:45:19,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14592012-08-26 214519.JPG,1499021,2012:08:26 15:45:19,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1460-2012-08-26 204521.JPG,1500033,2012:08:26 15:45:21,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1460-2016-12-04 223557.JPG,1006387,2016:12:04 16:35:56,"(36.09278055555556, -86.82153333333333)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14602012-08-26 214521.JPG,1500033,2012:08:26 15:45:21,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1461-2012-08-26 204523.JPG,1496270,2012:08:26 15:45:22,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14612012-08-26 214523.JPG,1496270,2012:08:26 15:45:22,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1462-2012-08-26 204558.JPG,1781820,2012:08:26 15:45:58,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_14622012-08-26 214558.JPG,1781820,2012:08:26 15:45:58,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1463-2016-12-07 190047.JPG,2575583,2016:12:06 08:00:28,"(35.947536111111106, -86.80493888888888)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1466-2017-01-02 161204.JPG,1681076,2016:12:11 22:09:31,"(35.955219444444445, -86.79743888888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1467-2017-08-20 202714.JPG,1522504,2016:12:11 22:09:42,"(35.955219444444445, -86.79743888888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1469-2012-08-26 210359.JPG,2312612,2012:08:26 16:03:59,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_1481-2012-08-28 152316.JPG,1839378,2012:08:28 10:23:15,"(None, None)"
